Binary,Octal,Decimal,Hex,Display,Unicode,Slang
0b00000000,0o000,0,0x00,^@,,
0b00000001,0o001,1,0x01,^A,,
0b00000010,0o002,2,0x02,^B,,
0b00000011,0o003,3,0x03,^C,,
0b00000100,0o004,4,0x04,^D,,
0b00000101,0o005,5,0x05,^E,,
0b00000110,0o006,6,0x06,^F,,
0b00000111,0o007,7,0x07,^G,,Alert
0b00001000,0o010,8,0x08,^H,,
0b00001001,0o011,9,0x09,^I,,
0b00001010,0o012,10,0x0a,^J,,
0b00001011,0o013,11,0x0b,^K,,
0b00001100,0o014,12,0x0c,^L,,
0b00001101,0o015,13,0x0d,^M,,
0b00001110,0o016,14,0x0e,^N,,
0b00001111,0o017,15,0x0f,^O,,
0b00010000,0o020,16,0x10,^P,,
0b00010001,0o021,17,0x11,^Q,,
0b00010010,0o022,18,0x12,^R,,
0b00010011,0o023,19,0x13,^S,,
0b00010100,0o024,20,0x14,^T,,
0b00010101,0o025,21,0x15,^U,,
0b00010110,0o026,22,0x16,^V,,
0b00010111,0o027,23,0x17,^W,,
0b00011000,0o030,24,0x18,^X,,
0b00011001,0o031,25,0x19,^Y,,
0b00011010,0o032,26,0x1a,^Z,,
0b00011011,0o033,27,0x1b,^[,,
0b00011100,0o034,28,0x1c,^\,,
0b00011101,0o035,29,0x1d,^],,
0b00011110,0o036,30,0x1e,^^,,
0b00011111,0o037,31,0x1f,^_,,
0b00100000,0o040,32,0x20, ,SPACE,
0b00100001,0o041,33,0x21,!,EXCLAMATION MARK,Bang / Excl / Wow / Factorial / Shriek / Pling / Smash / Cuss
0b00100010,0o042,34,0x22,"""",QUOTATION MARK,Double Quote / Quote / String Quote / Dirk / Literal Mark / Double Glitch / Dirk / Literal Mark / Double Glitch
0b00100011,0o043,35,0x23,#,NUMBER SIGN,Pound / Number / Sharp / Crunch / Mesh / Hex / Hash / Flash / Grid / Octothorpe
0b00100100,0o044,36,0x24,$,DOLLAR SIGN,Dollar / Buck / Cash / Ding
0b00100101,0o045,37,0x25,%,PERCENT SIGN,Mod / Modulo
0b00100110,0o046,38,0x26,&,AMPERSAND,Amper / And / Amper / And
0b00100111,0o047,39,0x27,',APOSTROPHE,Single Quote / Close Quote / Prime / Tick / Pop / Spark / Glitch / Tick / Pop / Spark / Glitch
0b00101000,0o050,40,0x28,(,LEFT PARENTHESIS,Open / Open Paren / Left Paren / Wax / Sad
0b00101001,0o051,41,0x29,),RIGHT PARENTHESIS,Close / Close Paren / Right Paren / Wane / Happy
