Name,Linux,FreeBSD,OpenBSD,NetBSD,Solaris,Darwin,Message
E2BIG,7,7,7,7,7,7,Argument list too long
EACCES,13,13,13,13,13,13,Permission denied
EADDRINUSE,98,48,48,48,125,48,Address already in use
EADDRNOTAVAIL,99,49,49,49,126,49,Can't assign requested address
EADV,68,,,,68,,advertise error
EAFNOSUPPORT,97,47,47,47,124,47,Address family not supported by protocol family
EAGAIN,11,35,35,35,11,35,Resource temporarily unavailable
EALREADY,114,37,37,37,149,37,Operation already in progress
EAUTH,,80,80,80,,80,Authentication error
EBADARCH,,,,,,86,Bad CPU type in executable
EBADE,52,,,,50,,invalid exchange
EBADEXEC,,,,,,85,Bad executable
EBADF,9,9,9,9,9,9,Bad file descriptor
EBADFD,77,,,,81,,f.d. invalid for this operation
EBADMACHO,,,,,,88,Malformed Macho file
EBADMSG,74,89,92,88,77,94,Bad message
EBADR,53,,,,51,,invalid request descriptor
EBADRPC,,72,72,72,,72,RPC struct is bad
EBADRQC,56,,,,54,,invalid request code
EBADSLT,57,,,,55,,invalid slot
EBFONT,59,,,,57,,bad font file fmt
EBUSY,16,16,16,16,16,16,Device / Resource busy
ECANCELED,125,85,88,87,47,89,Operation canceled
ECAPMODE,,94,,,,,Not permitted in capability mode
ECHILD,10,10,10,10,10,10,No child processes
ECHRNG,44,,,,37,,Channel number out of range
ECOMM,70,,,,70,,Communication error on send
ECONNABORTED,103,53,53,53,130,53,Software caused connection abort
ECONNREFUSED,111,61,61,61,146,61,Connection refused
ECONNRESET,104,54,54,54,131,54,Connection reset by peer
EDEADLK,35,11,11,11,45,11,Resource deadlock avoided
EDEADLOCK,,,,,56,,file locking deadlock error
EDESTADDRREQ,89,39,39,39,96,39,Destination address required
EDEVERR,,,,,,83,"Device error, e.g. paper out"
EDOM,33,33,33,33,33,33,Numerical argument out of domain
EDOOFUS,,88,,,,,Programming error
EDOTDOT,73,,,,,,RFS specific error
EDQUOT,122,69,69,69,49,69,Disc quota exceeded
EEXIST,17,17,17,17,17,17,File exists
EFAULT,14,14,14,14,14,14,Bad address
EFBIG,27,27,27,27,27,27,File too large
EFTYPE,,79,79,79,,79,Inappropriate file type or format
EHOSTDOWN,112,64,64,64,147,64,Host is down
EHOSTUNREACH,113,65,65,65,148,65,No route to host
EHWPOISON,133,,,,,,Memory page has hardware error
EIDRM,43,82,89,82,36,90,Identifier removed
EILSEQ,84,86,84,85,88,92,Illegal byte sequence
EINPROGRESS,115,36,36,36,150,36,Operation now in progress
EINTEGRITY,,97,,,,,Integrity check failed
EINTR,4,4,4,4,4,4,Interrupted system call
EINVAL,22,22,22,22,22,22,Invalid argument
EIO,5,5,5,5,5,5,Input/output error
EIPSEC,,,82,,,,IPsec processing failure
EISCONN,106,56,56,56,133,56,Socket is already connected
EISDIR,21,21,21,21,21,21,Is a directory
EISNAM,120,,,,,,Is a named type file
EKEYEXPIRED,127,,,,,,Key has expired
EKEYREJECTED,129,,,,,,Key was rejected by service
EKEYREVOKED,128,,,,,,Key has been revoked
EL2HLT,51,,,,44,,Level 2 halted
EL2NSYNC,45,,,,38,,Level 2 not synchronized
EL3HLT,46,,,,39,,Level 3 halted
EL3RST,47,,,,40,,Level 3 reset
ELAST,,97,95,98,,106,Must be equal largest errno
ELIBACC,79,,,,83,,Can't access a needed shared lib.
ELIBBAD,80,,,,84,,Accessing a corrupted shared lib.
ELIBEXEC,83,,,,87,,Attempting to exec a shared library.
ELIBMAX,82,,,,86,,Attempting to link in too many libs.
ELIBSCN,81,,,,85,,.lib section in a.out corrupted.
ELNRNG,48,,,,41,,Link number out of range
ELOCKUNMAPPED,,,,,72,,locked lock was unmapped
ELOOP,40,62,62,62,90,62,Too many levels of symbolic links
EMEDIUMTYPE,124,,86,,,,Wrong medium type
EMFILE,24,24,24,24,24,24,Too many open files
EMLINK,31,31,31,31,31,31,Too many links
EMSGSIZE,90,40,40,40,97,40,Message too long
EMULTIHOP,72,90,,94,74,95,Reserved
ENAMETOOLONG,36,63,63,63,78,63,File name too long
ENAVAIL,119,,,,,,No XENIX semaphores available
ENEEDAUTH,,81,81,81,,81,Need authenticator
ENETDOWN,100,50,50,50,127,50,Network is down
ENETRESET,102,52,52,52,129,52,Network dropped connection on reset
ENETUNREACH,101,51,51,51,128,51,Network is unreachable
ENFILE,23,23,23,23,23,23,Too many open files in system
ENOANO,55,,,,53,,no anode
ENOATTR,,87,83,93,,93,Attribute not found
ENOBUFS,105,55,55,55,132,55,No buffer space available
ENOCSI,50,,,,43,,No CSI structure available
ENODATA,61,,,89,61,96,No message available on STREAM
ENODEV,19,19,19,19,19,19,Operation not supported by device
ENOENT,2,2,2,2,2,2,No such file or directory
ENOEXEC,8,8,8,8,8,8,Exec format error
ENOKEY,126,,,,,,Required key not available
ENOLCK,37,77,77,77,46,77,No locks available
ENOLINK,67,91,,95,67,97,Reserved
ENOMEDIUM,123,,85,,,,No medium found
ENOMEM,12,12,12,12,12,12,Cannot allocate memory
ENOMSG,42,83,90,83,35,91,No message of desired type
ENONET,64,,,,64,,Machine is not on the network
ENOPKG,65,,,,65,,Package not installed
ENOPOLICY,,,,,,103,No such policy registered
ENOPROTOOPT,92,42,42,42,99,42,Protocol not available
ENOSPC,28,28,28,28,28,28,No space left on device
ENOSR,63,,,90,63,98,No STREAM resources
ENOSTR,60,,,91,60,99,Not a STREAM
ENOSYS,38,78,78,78,89,78,Function not implemented
ENOTACTIVE,,,,,73,,Facility is not active
ENOTBLK,15,15,15,15,15,15,Block device required
ENOTCAPABLE,,93,,,,,Capabilities insufficient
ENOTCONN,107,57,57,57,134,57,Socket is not connected
ENOTDIR,20,20,20,20,20,20,Not a directory
ENOTEMPTY,39,66,66,66,93,66,Directory not empty
ENOTNAM,118,,,,,,Not a XENIX named type file
ENOTRECOVERABLE,131,95,93,98,59,104,State not recoverable
ENOTSOCK,88,38,38,38,95,38,Socket operation on non-socket
ENOTSUP,,EOPNOTSUPP,91,86,48,45,Operation not supported
ENOTTY,25,25,25,25,25,25,Inappropriate ioctl for device
ENOTUNIQ,76,,,,80,,given log. name not unique
ENXIO,6,6,6,6,6,6,Device not configured
EOPNOTSUPP,95,45,45,45,122,102,Operation not supported on socket
EOVERFLOW,75,84,87,84,79,84,Value too large to be stored in data type
