Hex,Ethertype
0x0000,IEEE802.3 Length Field
0x0001,IEEE802.3 Length Field
0x0002,IEEE802.3 Length Field
0x0003,IEEE802.3 Length Field
0x0004,IEEE802.3 Length Field
0x0005,IEEE802.3 Length Field
0x0006,IEEE802.3 Length Field
0x0007,IEEE802.3 Length Field
0x0008,IEEE802.3 Length Field
0x0009,IEEE802.3 Length Field
0x000A,IEEE802.3 Length Field
0x000B,IEEE802.3 Length Field
0x000C,IEEE802.3 Length Field
0x000D,IEEE802.3 Length Field
0x000E,IEEE802.3 Length Field
0x000F,IEEE802.3 Length Field
0x0010,IEEE802.3 Length Field
0x0011,IEEE802.3 Length Field
0x0012,IEEE802.3 Length Field
0x0013,IEEE802.3 Length Field
0x0014,IEEE802.3 Length Field
0x0015,IEEE802.3 Length Field
0x0016,IEEE802.3 Length Field
0x0017,IEEE802.3 Length Field
0x0018,IEEE802.3 Length Field
0x0019,IEEE802.3 Length Field
0x001A,IEEE802.3 Length Field
0x001B,IEEE802.3 Length Field
0x001C,IEEE802.3 Length Field
0x001D,IEEE802.3 Length Field
0x001E,IEEE802.3 Length Field
0x001F,IEEE802.3 Length Field
0x0020,IEEE802.3 Length Field
0x0021,IEEE802.3 Length Field
0x0022,IEEE802.3 Length Field
0x0023,IEEE802.3 Length Field
0x0024,IEEE802.3 Length Field
0x0025,IEEE802.3 Length Field
0x0026,IEEE802.3 Length Field
0x0027,IEEE802.3 Length Field
0x0028,IEEE802.3 Length Field
0x0029,IEEE802.3 Length Field
0x002A,IEEE802.3 Length Field
0x002B,IEEE802.3 Length Field
0x002C,IEEE802.3 Length Field
0x002D,IEEE802.3 Length Field
0x002E,IEEE802.3 Length Field
0x002F,IEEE802.3 Length Field
0x0030,IEEE802.3 Length Field
0x0031,IEEE802.3 Length Field
0x0032,IEEE802.3 Length Field
0x0033,IEEE802.3 Length Field
0x0034,IEEE802.3 Length Field
0x0035,IEEE802.3 Length Field
0x0036,IEEE802.3 Length Field
0x0037,IEEE802.3 Length Field
0x0038,IEEE802.3 Length Field
0x0039,IEEE802.3 Length Field
0x003A,IEEE802.3 Length Field
0x003B,IEEE802.3 Length Field
0x003C,IEEE802.3 Length Field
0x003D,IEEE802.3 Length Field
0x003E,IEEE802.3 Length Field
0x003F,IEEE802.3 Length Field
0x0040,IEEE802.3 Length Field
0x0041,IEEE802.3 Length Field
0x0042,IEEE802.3 Length Field
0x0043,IEEE802.3 Length Field
0x0044,IEEE802.3 Length Field
0x0045,IEEE802.3 Length Field
0x0046,IEEE802.3 Length Field
0x0047,IEEE802.3 Length Field
0x0048,IEEE802.3 Length Field
0x0049,IEEE802.3 Length Field
0x004A,IEEE802.3 Length Field
0x004B,IEEE802.3 Length Field
0x004C,IEEE802.3 Length Field
0x004D,IEEE802.3 Length Field
0x004E,IEEE802.3 Length Field
0x004F,IEEE802.3 Length Field
0x0050,IEEE802.3 Length Field
0x0051,IEEE802.3 Length Field
0x0052,IEEE802.3 Length Field
0x0053,IEEE802.3 Length Field
0x0054,IEEE802.3 Length Field
0x0055,IEEE802.3 Length Field
0x0056,IEEE802.3 Length Field
0x0057,IEEE802.3 Length Field
0x0058,IEEE802.3 Length Field
0x0059,IEEE802.3 Length Field
0x005A,IEEE802.3 Length Field
0x005B,IEEE802.3 Length Field
0x005C,IEEE802.3 Length Field
0x005D,IEEE802.3 Length Field
0x005E,IEEE802.3 Length Field
0x005F,IEEE802.3 Length Field
0x0060,IEEE802.3 Length Field
0x0061,IEEE802.3 Length Field
0x0062,IEEE802.3 Length Field
0x0063,IEEE802.3 Length Field
0x0064,IEEE802.3 Length Field
0x0065,IEEE802.3 Length Field
0x0066,IEEE802.3 Length Field
0x0067,IEEE802.3 Length Field
0x0068,IEEE802.3 Length Field
0x0069,IEEE802.3 Length Field
0x006A,IEEE802.3 Length Field
0x006B,IEEE802.3 Length Field
0x006C,IEEE802.3 Length Field
0x006D,IEEE802.3 Length Field
0x006E,IEEE802.3 Length Field
0x006F,IEEE802.3 Length Field
0x0070,IEEE802.3 Length Field
0x0071,IEEE802.3 Length Field
0x0072,IEEE802.3 Length Field
0x0073,IEEE802.3 Length Field
0x0074,IEEE802.3 Length Field
0x0075,IEEE802.3 Length Field
0x0076,IEEE802.3 Length Field
0x0077,IEEE802.3 Length Field
0x0078,IEEE802.3 Length Field
0x0079,IEEE802.3 Length Field
0x007A,IEEE802.3 Length Field
0x007B,IEEE802.3 Length Field
0x007C,IEEE802.3 Length Field
0x007D,IEEE802.3 Length Field
0x007E,IEEE802.3 Length Field
0x007F,IEEE802.3 Length Field
0x0080,IEEE802.3 Length Field
0x0081,IEEE802.3 Length Field
0x0082,IEEE802.3 Length Field
0x0083,IEEE802.3 Length Field
